,course,Credits,Instructor,Department,course_name,description,vec_str
9800,SLS 302,3,N A Ziegler,Second Language Studies (SLS),Second Language Learning ,Theoretical foundations for the learning and teaching of second/ foreign languages. Includes an emphasis on instruction in writing. Pre: upper division standing.,Second Language Learning  Theoretical foundations for the learning and teaching of second/ foreign languages. Includes an emphasis on instruction in writing. Pre: upper division standing. Second Language Studies (SLS)
9801,SLS 302,3,J Wang,Second Language Studies (SLS),Second Language Learning ,Theoretical foundations for the learning and teaching of second/ foreign languages. Includes an emphasis on instruction in writing. Pre: upper division standing.,Second Language Learning  Theoretical foundations for the learning and teaching of second/ foreign languages. Includes an emphasis on instruction in writing. Pre: upper division standing. Second Language Studies (SLS)
9804,SLS 303,3,H Nishizawa,Second Language Studies (SLS),Second Language Teaching ,Survey of methodology; basic concepts and practices. Pre: 302 (or concurrent).,Second Language Teaching  Survey of methodology; basic concepts and practices. Pre: 302 (or concurrent). Second Language Studies (SLS)
9806,SLS 304,3,H T Nguyen,Second Language Studies (SLS),Sociolinguistics of Multilingualism ,"Explores major themes in sociolinguistics that are relevant to L2/multilingual contexts, including language ideology, language variation, language and culture, and language and identity and how L2 users and multilingual people grapple with these issues. Sophomore standing or higher. A-F only. DS","Sociolinguistics of Multilingualism  Explores major themes in sociolinguistics that are relevant to L2/multilingual contexts, including language ideology, language variation, language and culture, and language and identity and how L2 users and multilingual people grapple with these issues. Sophomore standing or higher. A-F only. DS Second Language Studies (SLS)"
9808,SLS 312,3,E A Gilliland,Second Language Studies (SLS),Techniques in Second Language Teaching: Reading and Writing ,Methods and materials. Issues in teaching; survey of available materials and practice in their adaptation. Includes an emphasis on instruction and feedback in oral communication. Pre: 302 (or concurrent).,Techniques in Second Language Teaching: Reading and Writing  Methods and materials. Issues in teaching; survey of available materials and practice in their adaptation. Includes an emphasis on instruction and feedback in oral communication. Pre: 302 (or concurrent). Second Language Studies (SLS)
9810,SLS 430,3,K K Sakoda,Second Language Studies (SLS),Pidgin and Creole English in Hawai‘i ,"Major historical descriptive, pedagogical aspects; pidgin and creole languages, linguistic change, language variation. Work with actual language data. Laboratory work required. Pre: 302 (or concurrent), or LING 102, or 600 (or concurrent); or consent.","Pidgin and Creole English in Hawai‘i  Major historical descriptive, pedagogical aspects; pidgin and creole languages, linguistic change, language variation. Work with actual language data. Laboratory work required. Pre: 302 (or concurrent), or LING 102, or 600 (or concurrent); or consent. Second Language Studies (SLS)"
9812,SLS 613,3,D J Crowther,Second Language Studies (SLS),Second Language Listening and Speaking ,Key issues; overview and critique of published materials; practice in developing syllabi and other materials. Pre: consent.,Second Language Listening and Speaking  Key issues; overview and critique of published materials; practice in developing syllabi and other materials. Pre: consent. Second Language Studies (SLS)
9814,SLS 620,3,G V Crookes,Second Language Studies (SLS),Second Language Reading ,Survey of research in reading process; teaching methodology; psycholinguistic investigations; comparison of reading in first and second languages. Pre: consent.,Second Language Reading  Survey of research in reading process; teaching methodology; psycholinguistic investigations; comparison of reading in first and second languages. Pre: consent. Second Language Studies (SLS)
9818,SLS 650,3,N A Ziegler,Second Language Studies (SLS),Second Language Acquisition ,"Survey of theories and research on second language learning by children and adults, learning naturalistically and in formal settings. Relationships are explored between SLA research and language teaching. Pre: 441 (or concurrent) or consent.","Second Language Acquisition  Survey of theories and research on second language learning by children and adults, learning naturalistically and in formal settings. Relationships are explored between SLA research and language teaching. Pre: 441 (or concurrent) or consent. Second Language Studies (SLS)"
9820,SLS 660,3,G Kasper,Second Language Studies (SLS),Sociolinguistics and Second Languages ,"Theoretical and applied aspects of language, culture, and society, and research methods in sociolinguistics, as they relate to second and foreign language issues. Pre: 441 (or
concurrent) or consent.","Sociolinguistics and Second Languages  Theoretical and applied aspects of language, culture, and society, and research methods in sociolinguistics, as they relate to second and foreign language issues. Pre: 441 (or
concurrent) or consent. Second Language Studies (SLS)"
9822,SLS 671,3,D R Isbell,Second Language Studies (SLS),Research in Language Testing ,"Advanced issues in language testing research including recent developments in the following areas: language testing hypotheses, item analysis, reliability, dependability, and validity. Pre: 490, 670, or consent.","Research in Language Testing  Advanced issues in language testing research including recent developments in the following areas: language testing hypotheses, item analysis, reliability, dependability, and validity. Pre: 490, 670, or consent. Second Language Studies (SLS)"
9824,SLS 678,3,C M Higgins,Second Language Studies (SLS),Discourse Analysis in Second Language Research ,Survey of approaches to discourse; microanalytic qualitative research; theory and methodology. Pre: 660 or consent.,Discourse Analysis in Second Language Research  Survey of approaches to discourse; microanalytic qualitative research; theory and methodology. Pre: 660 or consent. Second Language Studies (SLS)
9826,SLS 730,3,G V Crookes,Second Language Studies (SLS),Seminar in Second Language Education ,Current issues and problems. Repeatable unlimited times. Pre: consent only.,Seminar in Second Language Education  Current issues and problems. Repeatable unlimited times. Pre: consent only. Second Language Studies (SLS)
9827,SLS 730,3,D Zheng,Second Language Studies (SLS),Seminar in Second Language Education ,Current issues and problems. Repeatable unlimited times. Pre: consent only.,Seminar in Second Language Education  Current issues and problems. Repeatable unlimited times. Pre: consent only. Second Language Studies (SLS)
9830,SOCS 385,1-3,U Hasager,Social Science (SOCS),Social Sciences Service Learning and Micro Internship ,For students undertaking service-learning or micro-internship options separately or for another class. Discussions and research related to learning experiences and issues encountered while in the field. Repeatable up to three credits.,Social Sciences Service Learning and Micro Internship  For students undertaking service-learning or micro-internship options separately or for another class. Discussions and research related to learning experiences and issues encountered while in the field. Repeatable up to three credits. Social Science (SOCS)
9832,SOCS 489,3-6,U Hasager,Social Science (SOCS),Social Sciences Internship ,"Internship in public, private, or non-profit organizations providing opportunity for practical experience and application of social sciences concepts and theories. Three to six credits per semester; repeatable two times, up to 12 credits. Consent of instructor. (Cross-listed as SOC 494 and WGSS 489)","Social Sciences Internship  Internship in public, private, or non-profit organizations providing opportunity for practical experience and application of social sciences concepts and theories. Three to six credits per semester; repeatable two times, up to 12 credits. Consent of instructor. (Cross-listed as SOC 494 and WGSS 489) Social Science (SOCS)"
9833,SOCS 489,3-6,C Petranek,Social Science (SOCS),Social Sciences Internship ,"Internship in public, private, or non-profit organizations providing opportunity for practical experience and application of social sciences concepts and theories. Three to six credits per semester; repeatable two times, up to 12 credits. Consent of instructor. (Cross-listed as SOC 494 and WGSS 489)","Social Sciences Internship  Internship in public, private, or non-profit organizations providing opportunity for practical experience and application of social sciences concepts and theories. Three to six credits per semester; repeatable two times, up to 12 credits. Consent of instructor. (Cross-listed as SOC 494 and WGSS 489) Social Science (SOCS)"
9836,SW 200,3,S B Kim,Social Work (SW),The Field of Social Work ,"Orientation to the profession of social work; historical development, values and philosophy, scope and aims.","The Field of Social Work  Orientation to the profession of social work; historical development, values and philosophy, scope and aims. Social Work (SW)"
9840,SW 303,3,M C DeMattos,Social Work (SW),General Social Work Practice II ,"Introduction to practice skills with individuals, families, groups, and communities. A significant portion of class time is dedicated to writing instruction congruent with professional expectations. Pre: 302 (complete with C or better) and majors only. Co-requisite: 391.","General Social Work Practice II  Introduction to practice skills with individuals, families, groups, and communities. A significant portion of class time is dedicated to writing instruction congruent with professional expectations. Pre: 302 (complete with C or better) and majors only. Co-requisite: 391. Social Work (SW)"
9842,SW 303,3,J V Bravo,Social Work (SW),General Social Work Practice II ,"Introduction to practice skills with individuals, families, groups, and communities. A significant portion of class time is dedicated to writing instruction congruent with professional expectations. Pre: 302 (complete with C or better) and majors only. Co-requisite: 391.","General Social Work Practice II  Introduction to practice skills with individuals, families, groups, and communities. A significant portion of class time is dedicated to writing instruction congruent with professional expectations. Pre: 302 (complete with C or better) and majors only. Co-requisite: 391. Social Work (SW)"
9848,SW 326,3,J Guo,Social Work (SW),Social Welfare as a Social Institution ,"Study of U.S. social welfare institutions and policies as an expression of societal response to human needs; interrelationship of American value system to goals, objectives, and policies of social security programs; focus on examination of Hawai‘i’s social service programs. SW majors only. Pre: 325.","Social Welfare as a Social Institution  Study of U.S. social welfare institutions and policies as an expression of societal response to human needs; interrelationship of American value system to goals, objectives, and policies of social security programs; focus on examination of Hawai‘i’s social service programs. SW majors only. Pre: 325. Social Work (SW)"
9852,SW 361,3,D R Maxwell,Social Work (SW),Human Behavior and the Social Environment II ,"Focus on human development across the lifespan with attention given to unique
challenges and opportunities faced in each phase. Emphasis on “populations at risk” and the strengths and assets unique to diverse populations. SW majors only.
Pre: 360 with a grade of C or better. Recommended: 200. DS","Human Behavior and the Social Environment II  Focus on human development across the lifespan with attention given to unique
challenges and opportunities faced in each phase. Emphasis on “populations at risk” and the strengths and assets unique to diverse populations. SW majors only.
Pre: 360 with a grade of C or better. Recommended: 200. DS Social Work (SW)"
9856,SW 391,3,A B Chung,Social Work (SW),Undergraduate Field Education I ,"Introduction to field education; application of social work knowledge, skills, and values to the field experience. CR/NC only. Pre: 302, 325, 326 (or concurrent), 360, and 361 (or concurrent) complete with C or better; and majors only. Co-requisite: 303.","Undergraduate Field Education I  Introduction to field education; application of social work knowledge, skills, and values to the field experience. CR/NC only. Pre: 302, 325, 326 (or concurrent), 360, and 361 (or concurrent) complete with C or better; and majors only. Co-requisite: 303. Social Work (SW)"
9864,SW 403,3,S K Boone,Social Work (SW),General Social Work Practice IV ,Examination of practice methods and intervention models; identification and analysis of issues related to practice. A significant portion of class time is dedicated to writing instruction congruent with professional expectations. Pre: 402 (C or better) and majors only. Co-requisite: 491.,General Social Work Practice IV  Examination of practice methods and intervention models; identification and analysis of issues related to practice. A significant portion of class time is dedicated to writing instruction congruent with professional expectations. Pre: 402 (C or better) and majors only. Co-requisite: 491. Social Work (SW)
9872,SW 491,4,A B Chung,Social Work (SW),Undergraduate Field Education III ,"Advanced instruction to field education; application of social work knowledge, skills, and values to the field experience. Pre: 490 complete with C or better, and majors only. Co-requisite: 403.","Undergraduate Field Education III  Advanced instruction to field education; application of social work knowledge, skills, and values to the field experience. Pre: 490 complete with C or better, and majors only. Co-requisite: 403. Social Work (SW)"
9880,SW 607,3,D A Nisthal,Social Work (SW),Social Work Practice with Families and Groups ,"Practice course builds upon the generalist framework and foundation content presented in 606. Special emphasis is given on models for assessment, intervention, and evaluation of practice with families and groups. Relevant theories of groups and the principles of group dynamics and group work methods are examined in regard to task, therapeutic, psychoeducational, and social development groups. Family content includes structural, behavioral, communication/experiential, and culturally-specific theories of intervention. A-F only. Pre: 606.","Social Work Practice with Families and Groups  Practice course builds upon the generalist framework and foundation content presented in 606. Special emphasis is given on models for assessment, intervention, and evaluation of practice with families and groups. Relevant theories of groups and the principles of group dynamics and group work methods are examined in regard to task, therapeutic, psychoeducational, and social development groups. Family content includes structural, behavioral, communication/experiential, and culturally-specific theories of intervention. A-F only. Pre: 606. Social Work (SW)"
9888,SW 631,3,A R Lwin-Maluo,Social Work (SW),Social Work Practice in Communities and Organizations ,"Community conceptualization; organized roles of developer, enabler, broker, mediator, and advocate; diagnostic and problem-solving technology; the special characteristics of the social worker as community organizer; matrix of structural objectives; sources and use of power; how to build an organization; and interorganizational negotiation. SW majors only. A-F only. Pre: 606, graduate standing, and consent. (Spring only)","Social Work Practice in Communities and Organizations  Community conceptualization; organized roles of developer, enabler, broker, mediator, and advocate; diagnostic and problem-solving technology; the special characteristics of the social worker as community organizer; matrix of structural objectives; sources and use of power; how to build an organization; and interorganizational negotiation. SW majors only. A-F only. Pre: 606, graduate standing, and consent. (Spring only) Social Work (SW)"
9890,SW 631,3,D A Nisthal,Social Work (SW),Social Work Practice in Communities and Organizations ,"Community conceptualization; organized roles of developer, enabler, broker, mediator, and advocate; diagnostic and problem-solving technology; the special characteristics of the social worker as community organizer; matrix of structural objectives; sources and use of power; how to build an organization; and interorganizational negotiation. SW majors only. A-F only. Pre: 606, graduate standing, and consent. (Spring only)","Social Work Practice in Communities and Organizations  Community conceptualization; organized roles of developer, enabler, broker, mediator, and advocate; diagnostic and problem-solving technology; the special characteristics of the social worker as community organizer; matrix of structural objectives; sources and use of power; how to build an organization; and interorganizational negotiation. SW majors only. A-F only. Pre: 606, graduate standing, and consent. (Spring only) Social Work (SW)"
9896,SW 650,3,M T Godinet,Social Work (SW),Research Designs and Data Analyses for the Evaluation of Practice Effectiveness ,Extending the study of scientific methods introduced in 640. Covers the range of empirical research methods and data analytic procedures suitable for knowledge building and practice evaluation at all levels of intervention from case to program. A-F only. Pre: 640. (Spring only),Research Designs and Data Analyses for the Evaluation of Practice Effectiveness  Extending the study of scientific methods introduced in 640. Covers the range of empirical research methods and data analytic procedures suitable for knowledge building and practice evaluation at all levels of intervention from case to program. A-F only. Pre: 640. (Spring only) Social Work (SW)
9900,SW 654,3,A C Yoshioka-Maxwell,Social Work (SW),Applied Regression and Analysis of Variance ,"Introduction to linear statistical models as principle of data analysis. Topics include multiple regression models with continuous and categorical predictors. ANOVA with multiple factors, ANOVA with repeated measures, and ANCOVA. Pre: 601 or consent.","Applied Regression and Analysis of Variance  Introduction to linear statistical models as principle of data analysis. Topics include multiple regression models with continuous and categorical predictors. ANOVA with multiple factors, ANOVA with repeated measures, and ANCOVA. Pre: 601 or consent. Social Work (SW)"
9904,SW 660,3,S K Boone,Social Work (SW),Human Behavior in the Social Environment II ,Focus on human development across the lifespan with attention given to unique challenges and opportunities faced in each phase. Emphasis is placed on “populations at risk” and the strengths and assets unique to diverse populations. A-F only. Pre: 659. (Spring only),Human Behavior in the Social Environment II  Focus on human development across the lifespan with attention given to unique challenges and opportunities faced in each phase. Emphasis is placed on “populations at risk” and the strengths and assets unique to diverse populations. A-F only. Pre: 659. (Spring only) Social Work (SW)
9908,SW 680,3,C A Kaaiai,Social Work (SW),Topics in Social Welfare ,"Current trends in field of social welfare. Recent courses have focused on forensic social work, immigrants and refugees, and leadership in human services. Meets seminar requirement. Repeatable one time in different topics. SW majors only. Pre: graduate standing.","Topics in Social Welfare  Current trends in field of social welfare. Recent courses have focused on forensic social work, immigrants and refugees, and leadership in human services. Meets seminar requirement. Repeatable one time in different topics. SW majors only. Pre: graduate standing. Social Work (SW)"
9910,SW 680,3,S C Yoshimoto,Social Work (SW),Topics in Social Welfare ,"Current trends in field of social welfare. Recent courses have focused on forensic social work, immigrants and refugees, and leadership in human services. Meets seminar requirement. Repeatable one time in different topics. SW majors only. Pre: graduate standing.","Topics in Social Welfare  Current trends in field of social welfare. Recent courses have focused on forensic social work, immigrants and refugees, and leadership in human services. Meets seminar requirement. Repeatable one time in different topics. SW majors only. Pre: graduate standing. Social Work (SW)"
9916,SW 682,3,T A Lathrop,Social Work (SW),Marriage and Family Therapy ,"Introduction to couple and family therapy offers an overview of family systems perspective, theory and technique relevant to informing effective social work case planning, case management, advocacy, and interaction with clients. SW majors only. Graduate students only.","Marriage and Family Therapy  Introduction to couple and family therapy offers an overview of family systems perspective, theory and technique relevant to informing effective social work case planning, case management, advocacy, and interaction with clients. SW majors only. Graduate students only. Social Work (SW)"
9920,SW 691,3,E M Vargas,Social Work (SW),Generalist Field Education II ,"Field education is the signature pedagogy of social work education. Students will engage in supervised social work practice and have the opportunity to apply generalist knowledge, skills, values, and ethics to practice. A-F only. Pre: 690 and 607 (or concurrent) and 631 (or concurrent) (all with a minimum grade of C).","Generalist Field Education II  Field education is the signature pedagogy of social work education. Students will engage in supervised social work practice and have the opportunity to apply generalist knowledge, skills, values, and ethics to practice. A-F only. Pre: 690 and 607 (or concurrent) and 631 (or concurrent) (all with a minimum grade of C). Social Work (SW)"
9928,SW 718,3,F J Julien-Chinn,Social Work (SW),Seminar in Social Work Practice with Children and Families ,"Designed for students in the child and family concentration and builds upon past knowledge and skill development in practice classes and in the practicum. Students integrate, demonstrate, and extend earlier learning, acquire new knowledge, and learn and practice new skills. Organized around student case presentations in a consultation format. Meets seminar requirement. SW majors only. Pre: 717.","Seminar in Social Work Practice with Children and Families  Designed for students in the child and family concentration and builds upon past knowledge and skill development in practice classes and in the practicum. Students integrate, demonstrate, and extend earlier learning, acquire new knowledge, and learn and practice new skills. Organized around student case presentations in a consultation format. Meets seminar requirement. SW majors only. Pre: 717. Social Work (SW)"
9932,SW 723,3,D R Maxwell,Social Work (SW),Seminar in Social Work Practice in Health Care ,"Through the use of case studies developed by the students, social work practice is examined in three areas of health care: primary care provided in health departments and medical groups, hospital-based services, and long-term care. Meets seminar requirement. SW majors only. Pre: 722.","Seminar in Social Work Practice in Health Care  Through the use of case studies developed by the students, social work practice is examined in three areas of health care: primary care provided in health departments and medical groups, hospital-based services, and long-term care. Meets seminar requirement. SW majors only. Pre: 722. Social Work (SW)"
9936,SW 725,3,D A Sato,Social Work (SW),Social Work Practice in Mental Health ,"Prepares students for social work practice in mental health settings, with a focus on history and policy in the U.S. and Hawai‘i, as well as culturally-grounded and evidence-based practice. SW majors only. Pre: 724.","Social Work Practice in Mental Health  Prepares students for social work practice in mental health settings, with a focus on history and policy in the U.S. and Hawai‘i, as well as culturally-grounded and evidence-based practice. SW majors only. Pre: 724. Social Work (SW)"
9938,SW 725,3,R L Burrage,Social Work (SW),Social Work Practice in Mental Health ,"Prepares students for social work practice in mental health settings, with a focus on history and policy in the U.S. and Hawai‘i, as well as culturally-grounded and evidence-based practice. SW majors only. Pre: 724.","Social Work Practice in Mental Health  Prepares students for social work practice in mental health settings, with a focus on history and policy in the U.S. and Hawai‘i, as well as culturally-grounded and evidence-based practice. SW majors only. Pre: 724. Social Work (SW)"
9944,SW 727,3,K Y Kawamoto,Social Work (SW),Seminar in Social Work with Older Adults ,Designed for gerontology specialization students to gain advanced knowledge for working with diverse older adults and their families. Emphasis on strength perspectives on aging. SW majors only. Pre: 726.,Seminar in Social Work with Older Adults  Designed for gerontology specialization students to gain advanced knowledge for working with diverse older adults and their families. Emphasis on strength perspectives on aging. SW majors only. Pre: 726. Social Work (SW)
9948,SW 741,3,M T Godinet,Social Work (SW),Review of Research in Social Work ,"In-depth study of research in a substantive area. Each seminar will be devoted to a particular topic: e.g., foster care of children, effectiveness of social work intervention, etc. SW majors only. Pre: 650.","Review of Research in Social Work  In-depth study of research in a substantive area. Each seminar will be devoted to a particular topic: e.g., foster care of children, effectiveness of social work intervention, etc. SW majors only. Pre: 650. Social Work (SW)"
9952,SW 791,1-5,D A Nisthal,Social Work (SW),Specialist Field Education II ,Continuation of 790. A-F only. Pre: 790 and; 718 (or concurrent); or 723 (or concurrent); or 725 (or concurrent); or 727 (or concurrent) (all with a minimum grade of B-).,Specialist Field Education II  Continuation of 790. A-F only. Pre: 790 and; 718 (or concurrent); or 723 (or concurrent); or 725 (or concurrent); or 727 (or concurrent) (all with a minimum grade of B-). Social Work (SW)
9954,SW 791,1-5,TBA,Social Work (SW),Specialist Field Education II ,Continuation of 790. A-F only. Pre: 790 and; 718 (or concurrent); or 723 (or concurrent); or 725 (or concurrent); or 727 (or concurrent) (all with a minimum grade of B-).,Specialist Field Education II  Continuation of 790. A-F only. Pre: 790 and; 718 (or concurrent); or 723 (or concurrent); or 725 (or concurrent); or 727 (or concurrent) (all with a minimum grade of B-). Social Work (SW)
9960,SW 797,3,C S Bersamira,Social Work (SW),Advanced Social Welfare Policy Analysis and Change ,"Builds on 630 and emphasizes a more thorough and comprehensive examination of major policies, programs, and populations central to a concentration (Health, Mental Health, Gerontology, Child and Family). Students learn a more focused and applied analysis of the relationship between social policy, research, and social work practice. SW majors only. A-F only. Pre: 606 and 607; 630 and 631; 640 and 650; 659 and 660; 690 and 691.","Advanced Social Welfare Policy Analysis and Change  Builds on 630 and emphasizes a more thorough and comprehensive examination of major policies, programs, and populations central to a concentration (Health, Mental Health, Gerontology, Child and Family). Students learn a more focused and applied analysis of the relationship between social policy, research, and social work practice. SW majors only. A-F only. Pre: 606 and 607; 630 and 631; 640 and 650; 659 and 660; 690 and 691. Social Work (SW)"
9964,SW 797,3,A Cline,Social Work (SW),Advanced Social Welfare Policy Analysis and Change ,"Builds on 630 and emphasizes a more thorough and comprehensive examination of major policies, programs, and populations central to a concentration (Health, Mental Health, Gerontology, Child and Family). Students learn a more focused and applied analysis of the relationship between social policy, research, and social work practice. SW majors only. A-F only. Pre: 606 and 607; 630 and 631; 640 and 650; 659 and 660; 690 and 691.","Advanced Social Welfare Policy Analysis and Change  Builds on 630 and emphasizes a more thorough and comprehensive examination of major policies, programs, and populations central to a concentration (Health, Mental Health, Gerontology, Child and Family). Students learn a more focused and applied analysis of the relationship between social policy, research, and social work practice. SW majors only. A-F only. Pre: 606 and 607; 630 and 631; 640 and 650; 659 and 660; 690 and 691. Social Work (SW)"
9972,SOC 100,3,N J Chagnon,Sociology (SOC),Introduction to Sociology ,"Basic social relationships, social structures, and processes.","Introduction to Sociology  Basic social relationships, social structures, and processes. Sociology (SOC)"
9973,SOC 100,3,L Lin,Sociology (SOC),Introduction to Sociology ,"Basic social relationships, social structures, and processes.","Introduction to Sociology  Basic social relationships, social structures, and processes. Sociology (SOC)"
9974,SOC 100,3,K N Mossakowski,Sociology (SOC),Introduction to Sociology ,"Basic social relationships, social structures, and processes.","Introduction to Sociology  Basic social relationships, social structures, and processes. Sociology (SOC)"
9988,SOC 100A,3,J M Lacanienta,Sociology (SOC),Introduction to Sociology ,"Basic social relationships, social structures, and processes.","Introduction to Sociology  Basic social relationships, social structures, and processes. Sociology (SOC)"
9996,SOC 176,3,S Chai,Sociology (SOC),Introduction to Data Analysis ,"Basic analytic skills widely used in quantitative analysis of social science data, including descriptive statistics, rates and probability, comparison of groups, introduction to causal relationships, and application of these techniques to real life examples. A-F only.","Introduction to Data Analysis  Basic analytic skills widely used in quantitative analysis of social science data, including descriptive statistics, rates and probability, comparison of groups, introduction to causal relationships, and application of these techniques to real life examples. A-F only. Sociology (SOC)"
9998,SOC 180,3,C Yang,Sociology (SOC),Introduction to International and Global Studies ,"Introduces undergraduate students to the major political, social, economic, cultural, technological, and historical dimensions of globalization. Special attention will be paid to globalization process that have impacted Hawai‘i and the Asia-Pacific region. A-F only. (Cross-listed as POLS 160) FGB","Introduction to International and Global Studies  Introduces undergraduate students to the major political, social, economic, cultural, technological, and historical dimensions of globalization. Special attention will be paid to globalization process that have impacted Hawai‘i and the Asia-Pacific region. A-F only. (Cross-listed as POLS 160) FGB Sociology (SOC)"
10000,SOC 214,3,N R Sharma,Sociology (SOC),Introduction to Race and Ethnic Relations ,"Race and ethnic relations in world perspective; social, economic, and political problems associated with perception, existence, and accommodation of these groups within the wider society. (Cross-listed as ES 214)","Introduction to Race and Ethnic Relations  Race and ethnic relations in world perspective; social, economic, and political problems associated with perception, existence, and accommodation of these groups within the wider society. (Cross-listed as ES 214) Sociology (SOC)"
10002,SOC 231,3,O T Bird,Sociology (SOC),Introduction to Juvenile Delinquency ,Forms of juvenile deviance; conditions and processes that result in alienation and deviance of youth. Juvenile corrections as institutionalized societal responses.,Introduction to Juvenile Delinquency  Forms of juvenile deviance; conditions and processes that result in alienation and deviance of youth. Juvenile corrections as institutionalized societal responses. Sociology (SOC)
10004,SOC 232,3,A T Rubin,Sociology (SOC),Introduction to the Sociology of Punishment ,Multiple social theories about different forms of formal and informal punishments and social control across different societies and times.,Introduction to the Sociology of Punishment  Multiple social theories about different forms of formal and informal punishments and social control across different societies and times. Sociology (SOC)
10006,SOC 251,3,L Liu,Sociology (SOC),Introduction to Sociology of the Family ,"Family patterns, mate selection, parent-child interaction, socialization of roles, legal sanctions, trends in organization, functions.","Introduction to Sociology of the Family  Family patterns, mate selection, parent-child interaction, socialization of roles, legal sanctions, trends in organization, functions. Sociology (SOC)"
10008,SOC 300,4,M Yang,Sociology (SOC),Principles of Sociological Inquiry ,"(3 Lec, 2 50-min Lab) Basic methods of sociology for production and analysis of data. Foundations for understanding research and for advanced courses in methods and statistics.","Principles of Sociological Inquiry  (3 Lec, 2 50-min Lab) Basic methods of sociology for production and analysis of data. Foundations for understanding research and for advanced courses in methods and statistics. Sociology (SOC)"
10010,SOC 300,4,M C Rost-Banik,Sociology (SOC),Principles of Sociological Inquiry ,"(3 Lec, 2 50-min Lab) Basic methods of sociology for production and analysis of data. Foundations for understanding research and for advanced courses in methods and statistics.","Principles of Sociological Inquiry  (3 Lec, 2 50-min Lab) Basic methods of sociology for production and analysis of data. Foundations for understanding research and for advanced courses in methods and statistics. Sociology (SOC)"
10014,SOC 301,3,J R Darrah,Sociology (SOC),Survey of Urban Sociology ,"Urban processes and social problems, such as poverty, crime, racial segregation, homelessness, housing policy, urbanization, and neighborhood ethnic diversity. How places shape identity and opportunity. Research methods applied to communities, places, and neighborhoods of Hawai‘i. (Cross-listed as PLAN 301)","Survey of Urban Sociology  Urban processes and social problems, such as poverty, crime, racial segregation, homelessness, housing policy, urbanization, and neighborhood ethnic diversity. How places shape identity and opportunity. Research methods applied to communities, places, and neighborhoods of Hawai‘i. (Cross-listed as PLAN 301) Sociology (SOC)"
10016,SOC 311,3,J M Lacanienta,Sociology (SOC),Survey of Social Inequality and Stratification ,"Introduction to social stratification theory and research; definition and measurement of socioeconomic status; racial, ethnic and gender inequality; differences in lifestyles and life chances; social mobility.","Survey of Social Inequality and Stratification  Introduction to social stratification theory and research; definition and measurement of socioeconomic status; racial, ethnic and gender inequality; differences in lifestyles and life chances; social mobility. Sociology (SOC)"
10018,SOC 321,3,M Steger,Sociology (SOC),Survey of Sociological Theory ,"Major theorists and their influences, from Comte to today.","Survey of Sociological Theory  Major theorists and their influences, from Comte to today. Sociology (SOC)"
10020,SOC 333,3,D T Johnson,Sociology (SOC),Criminology ,"Concepts used in crime, law enforcement, criminal justice, and corrections. Types of criminal behavior; costs and effects of control.","Criminology  Concepts used in crime, law enforcement, criminal justice, and corrections. Types of criminal behavior; costs and effects of control. Sociology (SOC)"
10022,SOC 335,3,K Irwin,Sociology (SOC),Drugs and Society ,"Use of mood- and mind-altering drugs in America among adults, youth, and cross-culturally. Illicit drug culture, psychedelics, and perception; social norms and deviant behavior.","Drugs and Society  Use of mood- and mind-altering drugs in America among adults, youth, and cross-culturally. Illicit drug culture, psychedelics, and perception; social norms and deviant behavior. Sociology (SOC)"
10024,SOC 336,3,D T Johnson,Sociology (SOC),Deviance and Social Control ,"Interrelations of deviance, criminology, juvenile delinquency, corrections, social control, sociology of law. Key concepts, theories. DS","Deviance and Social Control  Interrelations of deviance, criminology, juvenile delinquency, corrections, social control, sociology of law. Key concepts, theories. DS Sociology (SOC)"
10026,SOC 337,3,A T Rubin,Sociology (SOC),Criminal Justice Organizations ,"Examines major criminal justice organizations–police, courts, and prisons. Using organizational theory, identifies the role of organizational goals, structure, resources, legitimacy, culture, and front-line workers in shaping criminal justice policy and practice. Pre: 100 or a 200-level SOC course, or consent.","Criminal Justice Organizations  Examines major criminal justice organizations–police, courts, and prisons. Using organizational theory, identifies the role of organizational goals, structure, resources, legitimacy, culture, and front-line workers in shaping criminal justice policy and practice. Pre: 100 or a 200-level SOC course, or consent. Sociology (SOC)"
10028,SOC 352,3,M C Rost-Banik,Sociology (SOC),Survey of Sociology of Education ,"Formal education as one aspect of socialization. Emphasis on American system; business, military, and religious institutions.","Survey of Sociology of Education  Formal education as one aspect of socialization. Emphasis on American system; business, military, and religious institutions. Sociology (SOC)"
10030,SOC 353,3,N M Kohl,Sociology (SOC),Survey of Sociology of Aging ,"Aging as a social phenomenon, including social impacts of growing elderly population and emerging social patterns among the elderly. Important theoretical perspectives and cross-national research. (cross-listed as COA 353)","Survey of Sociology of Aging  Aging as a social phenomenon, including social impacts of growing elderly population and emerging social patterns among the elderly. Important theoretical perspectives and cross-national research. (cross-listed as COA 353) Sociology (SOC)"
10032,SOC 358,3,M Yang,Sociology (SOC),Sociology of Korea ,"Social institutions, family, education, religion, cultural values, social classes, economic development, social movements, gender relations, North-South relations, and unification issues. A-F only. Pre: 100 or any 200-level SOC course, or consent.","Sociology of Korea  Social institutions, family, education, religion, cultural values, social classes, economic development, social movements, gender relations, North-South relations, and unification issues. A-F only. Pre: 100 or any 200-level SOC course, or consent. Sociology (SOC)"
